,ML Strategy,EMA Baseline,Buy & Hold
final_value,9994.928531162916,9998.345087210051,232964.20500441737
cagr,-0.2721555439598397,-0.3594436011973184,0.1777260471791824
sharpe,-2.315722461351572,-1.246043006703454,0.5716605936987862
sortino,-0.0006196518669918,-0.000768170729992,0.0004559564250645
volatility,0.9329883093973246,1.5538452391247417,2.8705720858910904
max_drawdown_pct,90.64027916107004,93.00833660533708,77.09907124355472
calmar_ratio,-0.3002589427998258,-0.3864638529366974,0.230516456699911
total_trades,665.0,382.0,0.0
win_rate,0.4586466165413533,0.2198952879581152,
profit_factor,0.5572799929277259,0.716729209121616,
avg_trade_return,-135.34597213358933,-235.6064264732724,
exposure,0.0600547820132389,0.1846793086681695,
avg_trade_duration,3.956390977443609,21.87434554973822,
